TH;409×;2.21%
HE;405×;2.19%
IN;355×;1.92%
AN;331×;1.79%
ER;326×;1.76%
ON;266×;1.44%
RE;246×;1.33%
NT;242×;1.31%
ED;241×;1.3%
ES;232×;1.25%
ND;217×;1.17%
AR;214×;1.15%
ST;213×;1.15%
TI;203×;1.1%
EN;201×;1.08%
TE;195×;1.05%
AS;187×;1.01%
EA;186×;1%
OR;185×;1%
IS;180×;0.97%
TO;179×;0.97%
AT;174×;0.94%
CO;158×;0.85%
LE;155×;0.84%
IT;154×;0.83%
AL;148×;0.8%
RO;147×;0.79%
NA;145×;0.78%
DE;143×;0.77%
OF;135×;0.73%
SE;132×;0.71%
RA;131×;0.71%
IO;127×;0.69%
EC;123×;0.66%
TA;121×;0.65%
RI;121×;0.65%
ME;119×;0.64%
LA;117×;0.63%
EL;116×;0.63%
ET;116×;0.63%
NG;116×;0.63%
LI;114×;0.62%
SI;107×;0.58%
DI;107×;0.58%
SA;102×;0.55%
HI;101×;0.54%
NS;101×;0.54%
RT;100×;0.54%
NE;100×;0.54%
VE;99×;0.53%
SO;98×;0.53%
NO;98×;0.53%
MA;98×;0.53%
IL;97×;0.52%
UN;95×;0.51%
NI;94×;0.51%
OM;94×;0.51%
CA;93×;0.5%
IC;93×;0.5%
CH;92×;0.5%
FO;92×;0.5%
SS;90×;0.49%
DA;89×;0.48%
HA;89×;0.48%
RS;89×;0.48%
EM;88×;0.47%
OU;87×;0.47%
NC;86×;0.46%
BE;85×;0.46%
LL;84×;0.45%
OT;84×;0.45%
PR;78×;0.42%
TR;78×;0.42%
WA;78×;0.42%
AC;75×;0.4%
DT;75×;0.4%
CE;74×;0.4%
IA;74×;0.4%
UR;73×;0.39%
EP;73×;0.39%
LO;69×;0.37%
CT;69×;0.37%
TS;68×;0.37%
MI;67×;0.36%
PA;65×;0.35%
AM;64×;0.35%
EF;63×;0.34%
GE;63×;0.34%
AD;63×;0.34%
PE;62×;0.33%
PO;61×;0.33%
FT;61×;0.33%
EW;60×;0.32%
IE;59×;0.32%
SC;59×;0.32%
OL;58×;0.31%
HO;58×;0.31%
US;58×;0.31%
CI;57×;0.31%
SU;56×;0.3%
IR;55×;0.3%
EE;53×;0.29%
MO;53×;0.29%
SH;52×;0.28%
EI;52×;0.28%
LY;51×;0.28%
TT;51×;0.28%
RD;51×;0.28%
TY;50×;0.27%
EO;49×;0.26%
DO;49×;0.26%
OS;48×;0.26%
FI;47×;0.25%
RN;47×;0.25%
VI;47×;0.25%
IG;46×;0.25%
WE;45×;0.24%
UT;45×;0.24%
YA;43×;0.23%
AI;42×;0.23%
ID;42×;0.23%
EG;42×;0.23%
WI;42×;0.23%
AB;41×;0.22%
LT;41×;0.22%
OW;41×;0.22%
SP;40×;0.22%
RM;40×;0.22%
GA;40×;0.22%
UL;39×;0.21%
AY;39×;0.21%
DS;39×;0.21%
AP;39×;0.21%
WO;39×;0.21%
LD;38×;0.21%
FR;38×;0.21%
FE;38×;0.21%
KE;37×;0.2%
OO;37×;0.2%
LU;37×;0.2%
OC;37×;0.2%
IM;37×;0.2%
EV;36×;0.19%
RY;36×;0.19%
PL;36×;0.19%
OP;36×;0.19%
FA;35×;0.19%
BL;35×;0.19%
BY;35×;0.19%
TU;35×;0.19%
DB;34×;0.18%
GH;34×;0.18%
UE;34×;0.18%
IV;34×;0.18%
RC;34×;0.18%
OD;33×;0.18%
OV;33×;0.18%
BA;33×;0.18%
YT;33×;0.18%
TW;33×;0.18%
GI;33×;0.18%
EB;32×;0.17%
DU;32×;0.17%
MP;31×;0.17%
SW;31×;0.17%
NN;30×;0.16%
GR;30×;0.16%
YE;30×;0.16%
DW;30×;0.16%
VA;30×;0.16%
GT;30×;0.16%
EH;30×;0.16%
UM;29×;0.16%
HT;29×;0.16%
SM;29×;0.16%
UC;29×;0.16%
BU;28×;0.15%
SF;28×;0.15%
OI;28×;0.15%
EU;28×;0.15%
UG;27×;0.15%
DF;27×;0.15%
CR;27×;0.15%
AG;27×;0.15%
OA;27×;0.15%
TL;27×;0.15%
AV;27×;0.15%
PI;27×;0.15%
CL;26×;0.14%
YS;26×;0.14%
DC;26×;0.14%
RG;25×;0.13%
YI;25×;0.13%
NF;25×;0.13%
WH;25×;0.13%
RU;25×;0.13%
MB;25×;0.13%
BO;24×;0.13%
SB;24×;0.13%
LS;24×;0.13%
YO;24×;0.13%
AU;24×;0.13%
UP;24×;0.13%
TC;23×;0.12%
DP;23×;0.12%
SR;22×;0.12%
PP;22×;0.12%
NB;22×;0.12%
CK;22×;0.12%
BR;22×;0.12%
KI;22×;0.12%
RV;22×;0.12%
EY;21×;0.11%
UD;21×;0.11%
NU;21×;0.11%
RR;21×;0.11%
IF;20×;0.11%
JO;20×;0.11%
RK;20×;0.11%
GO;20×;0.11%
UI;19×;0.1%
RP;19×;0.1%
PU;19×;0.1%
OG;19×;0.1%
AX;19×;0.1%
AW;19×;0.1%
DR;19×;0.1%
PH;18×;0.1%
RL;18×;0.1%
NW;17×;0.09%
NR;17×;0.09%
HR;17×;0.09%
NH;16×;0.09%
UB;16×;0.09%
NY;16×;0.09%
NM;16×;0.09%
UA;16×;0.09%
TM;16×;0.09%
MU;16×;0.09%
CU;16×;0.09%
IZ;16×;0.09%
AK;16×;0.09%
AF;16×;0.09%
QU;16×;0.09%
IP;16×;0.09%
OB;15×;0.08%
YP;15×;0.08%
AA;15×;0.08%
EX;15×;0.08%
LB;15×;0.08%
LC;15×;0.08%
RB;14×;0.08%
MM;14×;0.08%
TB;14×;0.08%
FF;14×;0.08%
SL;14×;0.08%
DH;14×;0.08%
MY;14×;0.08%
GU;14×;0.08%
DD;14×;0.08%
SK;14×;0.08%
RH;14×;0.08%
TP;14×;0.08%
OH;13×;0.07%
FU;13×;0.07%
DN;13×;0.07%
VO;13×;0.07%
LP;13×;0.07%
RW;13×;0.07%
NL;13×;0.07%
LF;13×;0.07%
DM;13×;0.07%
DL;13×;0.07%
OK;12×;0.06%
WN;12×;0.06%
FS;12×;0.06%
SN;12×;0.06%
OE;12×;0.06%
JU;11×;0.06%
MS;11×;0.06%
CS;11×;0.06%
YM;11×;0.06%
PT;11×;0.06%
BI;11×;0.06%
YR;11×;0.06%
YC;11×;0.06%
CY;11×;0.06%
HS;11×;0.06%
YD;11×;0.06%
YH;11×;0.06%
PS;11×;0.06%
FL;10×;0.05%
IB;10×;0.05%
KS;10×;0.05%
SD;10×;0.05%
DG;10×;0.05%
LG;10×;0.05%
GS;10×;0.05%
YN;10×;0.05%
YB;10×;0.05%
HB;10×;0.05%
HN;10×;0.05%
YF;10×;0.05%
NP;10×;0.05%
NK;10×;0.05%
RF;10×;0.05%
XT;9×;0.05%
GN;9×;0.05%
ZI;9×;0.05%
FC;9×;0.05%
SY;9×;0.05%
OJ;9×;0.05%
JE;9×;0.05%
NV;9×;0.05%
WS;9×;0.05%
CC;8×;0.04%
YW;8×;0.04%
GL;8×;0.04%
OY;8×;0.04%
HU;8×;0.04%
TF;8×;0.04%
AE;8×;0.04%
SG;8×;0.04%
MT;8×;0.04%
KO;8×;0.04%
JA;8×;0.04%
LW;8×;0.04%
SV;7×;0.04%
XP;7×;0.04%
XE;7×;0.04%
HC;7×;0.04%
BS;7×;0.04%
EJ;7×;0.04%
EK;7×;0.04%
FM;6×;0.03%
HM;6×;0.03%
HW;6×;0.03%
FH;6×;0.03%
GC;6×;0.03%
DJ;6×;0.03%
LK;6×;0.03%
XI;6×;0.03%
HH;6×;0.03%
TD;6×;0.03%
LM;6×;0.03%
PM;6×;0.03%
KA;6×;0.03%
GP;5×;0.03%
EQ;5×;0.03%
KM;5×;0.03%
AZ;5×;0.03%
IU;5×;0.03%
FP;5×;0.03%
HY;5×;0.03%
TN;5×;0.03%
LN;5×;0.03%
HF;5×;0.03%
LR;5×;0.03%
KC;5×;0.03%
MC;5×;0.03%
CP;5×;0.03%
XA;5×;0.03%
FB;4×;0.02%
IQ;4×;0.02%
HP;4×;0.02%
KP;4×;0.02%
NJ;4×;0.02%
YG;4×;0.02%
DV;4×;0.02%
HD;4×;0.02%
MH;4×;0.02%
ML;4×;0.02%
AJ;4×;0.02%
HK;4×;0.02%
FD;4×;0.02%
GM;4×;0.02%
II;4×;0.02%
FN;4×;0.02%
FW;4×;0.02%
KL;4×;0.02%
AH;4×;0.02%
MW;4×;0.02%
WM;4×;0.02%
IX;4×;0.02%
KB;3×;0.02%
VY;3×;0.02%
WT;3×;0.02%
MF;3×;0.02%
YL;3×;0.02%
UK;3×;0.02%
KW;3×;0.02%
RJ;3×;0.02%
SZ;3×;0.02%
HG;3×;0.02%
CN;3×;0.02%
IK;3×;0.02%
RZ;3×;0.02%
ZE;3×;0.02%
GD;3×;0.02%
PB;3×;0.02%
WL;3×;0.02%
PW;3×;0.02%
CD;3×;0.02%
FG;3×;0.02%
WC;3×;0.02%
KN;3×;0.02%
GF;3×;0.02%
YV;3×;0.02%
PF;2×;0.01%
WY;2×;0.01%
WP;2×;0.01%
LH;2×;0.01%
IW;2×;0.01%
GJ;2×;0.01%
TG;2×;0.01%
KH;2×;0.01%
BB;2×;0.01%
ZA;2×;0.01%
WB;2×;0.01%
MR;2×;0.01%
FY;2×;0.01%
FK;2×;0.01%
IJ;2×;0.01%
BH;2×;0.01%
WR;2×;0.01%
MN;2×;0.01%
VU;2×;0.01%
CF;2×;0.01%
BC;2×;0.01%
CW;2×;0.01%
DY;2×;0.01%
KT;2×;0.01%
BJ;2×;0.01%
PN;2×;0.01%
HV;2×;0.01%
YY;2×;0.01%
OX;2×;0.01%
WZ;2×;0.01%
VC;2×;0.01%
GY;2×;0.01%
CG;2×;0.01%
MD;2×;0.01%
GG;2×;0.01%
LJ;2×;0.01%
UV;2×;0.01%
LV;2×;0.01%
GB;2×;0.01%
BN;1×;0.01%
UF;1×;0.01%
NQ;1×;0.01%
BP;1×;0.01%
KR;1×;0.01%
JR;1×;0.01%
TK;1×;0.01%
TJ;1×;0.01%
XF;1×;0.01%
XR;1×;0.01%
XG;1×;0.01%
ZF;1×;0.01%
XM;1×;0.01%
WG;1×;0.01%
OZ;1×;0.01%
BF;1×;0.01%
KU;1×;0.01%
QO;1×;0.01%
XC;1×;0.01%
CJ;1×;0.01%
NZ;1×;0.01%
XU;1×;0.01%
CZ;1×;0.01%
GZ;1×;0.01%
GW;1×;0.01%
DZ;1×;0.01%
KF;1×;0.01%
GV;1×;0.01%
FV;1×;0.01%
PD;1×;0.01%
ZD;1×;0.01%
XY;1×;0.01%
TV;1×;0.01%
DK;1×;0.01%
FJ;1×;0.01%
VM;1×;0.01%
ZS;1×;0.01%
CB;1×;0.01%
TZ;1×;0.01%
PC;1×;0.01%
ZV;1×;0.01%
HL;1×;0.01%
WV;1×;0.01%
EZ;1×;0.01%
ZH;1×;0.01%
CQ;1×;0.01%
GK;1×;0.01%
ZU;1×;0.01%
IY;1×;0.01%
JB;1×;0.01%
YJ;1×;0.01%
SJ;1×;0.01%
FQ;1×;0.01%
YK;1×;0.01%
AO;1×;0.01%
KD;1×;0.01%
CV;1×;0.01%
IH;1×;0.01%
YU;1×;0.01%
BG;1×;0.01%
CM;1×;0.01%
UJ;1×;0.01%
JI;1×;0.01%
BW;1×;0.01%
WF;1×;0.01%
AQ;1×;0.01%
WJ;1×;0.01%
