EN;779×;3.87%
ER;534×;2.65%
DE;530×;2.63%
AN;405×;2.01%
ND;371×;1.84%
IN;336×;1.67%
EE;321×;1.6%
TE;316×;1.57%
EL;286×;1.42%
ET;285×;1.42%
GE;254×;1.26%
AA;243×;1.21%
ST;236×;1.17%
OR;228×;1.13%
OO;225×;1.12%
HE;210×;1.04%
VA;207×;1.03%
IJ;206×;1.02%
IE;195×;0.97%
ES;184×;0.91%
RE;176×;0.87%
LI;172×;0.85%
CH;169×;0.84%
AR;168×;0.83%
NE;162×;0.81%
RD;159×;0.79%
NA;155×;0.77%
SE;152×;0.76%
IS;146×;0.73%
RI;146×;0.73%
LA;146×;0.73%
ME;145×;0.72%
ON;145×;0.72%
ED;144×;0.72%
AM;137×;0.68%
NG;132×;0.66%
NT;132×;0.66%
LE;132×;0.66%
AT;128×;0.64%
TA;128×;0.64%
DI;127×;0.63%
AL;126×;0.63%
TI;126×;0.63%
NS;126×;0.63%
KE;125×;0.62%
VE;124×;0.62%
WE;123×;0.61%
SC;115×;0.57%
IT;114×;0.57%
EV;113×;0.56%
NI;111×;0.55%
RA;109×;0.54%
RO;109×;0.54%
RT;105×;0.52%
EM;103×;0.51%
HA;102×;0.51%
EG;98×;0.49%
VO;96×;0.48%
BE;96×;0.48%
UI;90×;0.45%
TO;90×;0.45%
EI;88×;0.44%
EK;86×;0.43%
NV;84×;0.42%
NO;83×;0.41%
PE;82×;0.41%
DA;81×;0.4%
MA;81×;0.4%
RS;81×;0.4%
OM;79×;0.39%
IL;79×;0.39%
NH;76×;0.38%
TS;76×;0.38%
OP;75×;0.37%
IC;73×;0.36%
HI;72×;0.36%
EF;71×;0.35%
SO;70×;0.35%
EW;70×;0.35%
EP;70×;0.35%
TD;67×;0.33%
EB;66×;0.33%
MI;66×;0.33%
JK;66×;0.33%
DO;65×;0.32%
OE;65×;0.32%
LD;64×;0.32%
EC;63×;0.31%
IG;63×;0.31%
ID;63×;0.31%
ZE;63×;0.31%
TR;62×;0.31%
WA;60×;0.3%
OL;59×;0.29%
LL;59×;0.29%
SP;58×;0.29%
SI;55×;0.27%
NB;55×;0.27%
NW;55×;0.27%
EU;54×;0.27%
EO;54×;0.27%
GI;52×;0.26%
AS;51×;0.25%
MO;50×;0.25%
GR;50×;0.25%
AD;49×;0.24%
TH;48×;0.24%
VI;48×;0.24%
SV;48×;0.24%
WO;48×;0.24%
UR;47×;0.23%
TT;47×;0.23%
EZ;46×;0.23%
RH;45×;0.22%
KA;45×;0.22%
PP;45×;0.22%
OT;45×;0.22%
SS;44×;0.22%
AP;44×;0.22%
LS;44×;0.22%
OS;44×;0.22%
NN;43×;0.21%
HT;42×;0.21%
SD;42×;0.21%
TU;42×;0.21%
CE;42×;0.21%
RL;41×;0.2%
EA;41×;0.2%
EH;41×;0.2%
NM;41×;0.2%
US;40×;0.2%
TW;40×;0.2%
ZI;40×;0.2%
AC;40×;0.2%
RM;40×;0.2%
PA;39×;0.19%
HO;39×;0.19%
RG;38×;0.19%
DR;37×;0.18%
BI;37×;0.18%
LO;37×;0.18%
TG;37×;0.18%
RU;37×;0.18%
FI;36×;0.18%
KO;35×;0.17%
CA;34×;0.17%
PL;34×;0.17%
KT;34×;0.17%
BA;33×;0.16%
IA;33×;0.16%
AE;32×;0.16%
AK;32×;0.16%
LT;32×;0.16%
OU;31×;0.15%
UW;31×;0.15%
TV;31×;0.15%
MV;31×;0.15%
NK;31×;0.15%
RK;31×;0.15%
ZO;31×;0.15%
SA;31×;0.15%
NZ;30×;0.15%
PO;30×;0.15%
JA;30×;0.15%
NC;30×;0.15%
SH;29×;0.14%
KI;29×;0.14%
PI;29×;0.14%
IK;29×;0.14%
AG;29×;0.14%
BO;29×;0.14%
CT;28×;0.14%
BR;28×;0.14%
AU;28×;0.14%
OK;27×;0.13%
JN;27×;0.13%
WI;27×;0.13%
DV;27×;0.13%
DD;27×;0.13%
RV;27×;0.13%
FA;27×;0.13%
BL;27×;0.13%
PU;27×;0.13%
GD;27×;0.13%
UB;26×;0.13%
RN;26×;0.13%
GG;26×;0.13%
UN;25×;0.12%
DS;25×;0.12%
CO;25×;0.12%
NP;25×;0.12%
LU;25×;0.12%
CI;24×;0.12%
RW;24×;0.12%
PR;24×;0.12%
TB;23×;0.11%
GA;23×;0.11%
OG;23×;0.11%
OV;23×;0.11%
NL;23×;0.11%
UM;23×;0.11%
LM;23×;0.11%
FT;22×;0.11%
RB;22×;0.11%
IO;22×;0.11%
LG;22×;0.11%
GO;21×;0.1%
FE;21×;0.1%
IR;21×;0.1%
BU;21×;0.1%
IV;21×;0.1%
SL;21×;0.1%
MB;20×;0.1%
RC;20×;0.1%
OF;20×;0.1%
JE;20×;0.1%
JD;20×;0.1%
MP;20×;0.1%
HU;19×;0.09%
KS;19×;0.09%
OD;19×;0.09%
UT;19×;0.09%
KW;18×;0.09%
LF;18×;0.09%
YS;18×;0.09%
AF;18×;0.09%
SM;18×;0.09%
FO;18×;0.09%
TM;18×;0.09%
OC;18×;0.09%
AI;18×;0.09%
LV;17×;0.08%
MM;17×;0.08%
SW;17×;0.08%
GV;17×;0.08%
DU;17×;0.08%
NR;17×;0.08%
TN;17×;0.08%
KR;16×;0.08%
NF;16×;0.08%
TC;16×;0.08%
AB;16×;0.08%
GS;16×;0.08%
TZ;16×;0.08%
UU;16×;0.08%
DT;15×;0.07%
UC;15×;0.07%
UD;15×;0.07%
TL;15×;0.07%
RR;15×;0.07%
IZ;15×;0.07%
TK;15×;0.07%
MT;14×;0.07%
UL;14×;0.07%
RP;14×;0.07%
IM;14×;0.07%
DH;14×;0.07%
GU;14×;0.07%
KK;14×;0.07%
SB;14×;0.07%
LK;14×;0.07%
CR;14×;0.07%
MD;14×;0.07%
SK;14×;0.07%
TJ;13×;0.06%
MU;13×;0.06%
KU;13×;0.06%
JO;13×;0.06%
VL;13×;0.06%
SN;13×;0.06%
CK;13×;0.06%
NU;13×;0.06%
KL;12×;0.06%
GT;12×;0.06%
PH;12×;0.06%
OW;12×;0.06%
FR;12×;0.06%
IP;12×;0.06%
AV;12×;0.06%
MS;12×;0.06%
KM;12×;0.06%
SG;12×;0.06%
II;11×;0.05%
PT;11×;0.05%
JS;11×;0.05%
PS;11×;0.05%
PD;11×;0.05%
CU;11×;0.05%
VR;10×;0.05%
RZ;10×;0.05%
PG;10×;0.05%
DM;10×;0.05%
FD;10×;0.05%
LH;10×;0.05%
FS;9×;0.04%
JU;9×;0.04%
IB;9×;0.04%
YM;9×;0.04%
SU;9×;0.04%
FV;9×;0.04%
JV;9×;0.04%
TY;9×;0.04%
DW;9×;0.04%
HR;9×;0.04%
EJ;9×;0.04%
SZ;8×;0.04%
GN;8×;0.04%
KB;8×;0.04%
OB;8×;0.04%
OA;8×;0.04%
UE;8×;0.04%
DZ;8×;0.04%
EX;8×;0.04%
ZA;8×;0.04%
BB;8×;0.04%
HN;8×;0.04%
LP;8×;0.04%
SR;7×;0.03%
TP;7×;0.03%
OI;7×;0.03%
LY;7×;0.03%
GH;7×;0.03%
MY;7×;0.03%
PV;7×;0.03%
DB;7×;0.03%
IF;7×;0.03%
DG;7×;0.03%
MW;7×;0.03%
FG;7×;0.03%
TF;6×;0.03%
NY;6×;0.03%
SY;6×;0.03%
VV;6×;0.03%
JF;6×;0.03%
GL;6×;0.03%
KG;6×;0.03%
HY;6×;0.03%
YD;6×;0.03%
LW;6×;0.03%
FF;6×;0.03%
AZ;6×;0.03%
GM;6×;0.03%
YH;6×;0.03%
RF;6×;0.03%
UA;6×;0.03%
MH;6×;0.03%
JZ;6×;0.03%
OH;6×;0.03%
ZW;6×;0.03%
LN;5×;0.02%
DN;5×;0.02%
JL;5×;0.02%
GB;5×;0.02%
NJ;5×;0.02%
DK;5×;0.02%
MN;5×;0.02%
KV;5×;0.02%
SF;5×;0.02%
AY;5×;0.02%
AW;5×;0.02%
GW;5×;0.02%
PK;5×;0.02%
IU;5×;0.02%
KD;5×;0.02%
OZ;5×;0.02%
MR;4×;0.02%
LB;4×;0.02%
UK;4×;0.02%
ZU;4×;0.02%
SJ;4×;0.02%
KH;4×;0.02%
FL;4×;0.02%
KC;4×;0.02%
UZ;4×;0.02%
RJ;4×;0.02%
RY;4×;0.02%
UG;4×;0.02%
GC;4×;0.02%
HV;4×;0.02%
BS;4×;0.02%
CL;4×;0.02%
FB;4×;0.02%
ZZ;4×;0.02%
YC;4×;0.02%
PM;4×;0.02%
AH;4×;0.02%
ML;4×;0.02%
AX;4×;0.02%
HW;3×;0.01%
OX;3×;0.01%
PN;3×;0.01%
QU;3×;0.01%
DL;3×;0.01%
KJ;3×;0.01%
YA;3×;0.01%
XA;3×;0.01%
FH;3×;0.01%
UO;3×;0.01%
JH;3×;0.01%
BT;3×;0.01%
UV;3×;0.01%
FP;3×;0.01%
FM;3×;0.01%
YN;3×;0.01%
YP;3×;0.01%
JR;3×;0.01%
AO;3×;0.01%
FK;3×;0.01%
LC;3×;0.01%
FC;3×;0.01%
PW;3×;0.01%
WD;3×;0.01%
DY;3×;0.01%
BY;3×;0.01%
KN;2×;0.01%
BD;2×;0.01%
IX;2×;0.01%
PZ;2×;0.01%
IH;2×;0.01%
PJ;2×;0.01%
YO;2×;0.01%
GZ;2×;0.01%
XT;2×;0.01%
YE;2×;0.01%
FU;2×;0.01%
GY;2×;0.01%
VW;2×;0.01%
CC;2×;0.01%
HZ;2×;0.01%
YI;2×;0.01%
VC;2×;0.01%
XI;2×;0.01%
EY;2×;0.01%
FN;2×;0.01%
YV;2×;0.01%
KF;2×;0.01%
WS;2×;0.01%
XP;2×;0.01%
LJ;2×;0.01%
YT;2×;0.01%
JT;2×;0.01%
HL;2×;0.01%
MG;2×;0.01%
YB;2×;0.01%
HS;2×;0.01%
HP;2×;0.01%
KP;2×;0.01%
WZ;2×;0.01%
MZ;2×;0.01%
JW;2×;0.01%
JI;2×;0.01%
GP;2×;0.01%
OY;2×;0.01%
DP;2×;0.01%
YL;2×;0.01%
WV;2×;0.01%
GJ;2×;0.01%
IW;1×;0%
PY;1×;0%
YJ;1×;0%
PC;1×;0%
HH;1×;0%
DJ;1×;0%
KZ;1×;0%
WK;1×;0%
FJ;1×;0%
CM;1×;0%
BW;1×;0%
HD;1×;0%
VZ;1×;0%
UJ;1×;0%
IQ;1×;0%
HJ;1×;0%
VT;1×;0%
YU;1×;0%
VS;1×;0%
WY;1×;0%
FZ;1×;0%
NQ;1×;0%
WM;1×;0%
PF;1×;0%
IY;1×;0%
HB;1×;0%
GX;1×;0%
VH;1×;0%
VD;1×;0%
MK;1×;0%
WR;1×;0%
WG;1×;0%
TQ;1×;0%
ZH;1×;0%
XY;1×;0%
HM;1×;0%
NX;1×;0%
YR;1×;0%
WT;1×;0%
BM;1×;0%
VU;1×;0%
HG;1×;0%
DC;1×;0%
WU;1×;0%
OJ;1×;0%
XE;1×;0%
VJ;1×;0%
JG;1×;0%
BV;1×;0%
XD;1×;0%
WL;1×;0%
CD;1×;0%
LR;1×;0%
XM;1×;0%
HC;1×;0%
XB;1×;0%
CQ;1×;0%
WW;1×;0%
MJ;1×;0%
UP;1×;0%
YF;1×;0%
MF;1×;0%
DF;1×;0%
JM;1×;0%
CY;1×;0%
XF;1×;0%
AQ;1×;0%
